energy,energy error,OB,OB error
-0.0001998488821541855,0.002164191982945058,0.0009816341465137546,0.006442363044110571
0.00022338785801778727,0.0014313548563711805,-0.0008724342145095543,0.004631626523328791
9.396971118746933e-05,0.0019047077107656662,-0.0034772918304082356,0.006218892496557404
-0.00038769264768845346,0.0025058926357322295,0.000302205486276963,0.00823293085390907
-0.00046249149907851006,0.003162267745764209,-0.02217694353393901,0.0109227332579374
0.0006992055058177016,0.00266777277110218,-0.043693270508602555,0.017699873884065593
-0.0017339789219761315,0.003221239753435488,-0.09337706252306496,0.01718193479209577
-0.001586843068952959,0.0030221740822010657,-0.1439174176044944,0.022321612806112143
-0.0017377628860977268,0.003968124983967589,-0.1748821087013831,0.02816426671526748
-2.942059477817338e-05,0.005636047374478901,-0.20468880332923498,0.04348778581565972
1.0066113979689817e-05,0.004791851948541232,-0.21861679165906306,0.04877276490489615
-0.008195435820283592,0.007664999075497814,-0.2526770313793003,0.052116878463838515
-0.019294633553926133,0.02129363491095645,-0.255968149884155,0.09834364152252593
-0.03525997628619493,0.03418478273738805,-0.22378163770033202,0.17237163504789574
